angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"(92, 191, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(91, 190, 234, 234)",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"(92, 197, 220, 220)",0.0,0.02,0.0,0.96,0.01,0.0
0.0,"(91, 190, 234, 234)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 191, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 191, 231, 231)",0.0,0.0,0.0,0.99,0.01,0.0
0.0,"(93, 192, 230, 230)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(93, 191, 231, 231)",0.0,0.0,0.0,0.99,0.01,0.0
0.0,"(93, 192, 230, 230)",0.0,0.0,0.0,0.99,0.01,0.0
0.0,"(93, 191, 231, 231)",0.0,0.0,0.0,0.99,0.01,0.0
0.01,"(92, 191, 231, 231)",0.0,0.01,0.0,0.97,0.02,0.0
0.0,"(93, 191, 231, 231)",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"(92, 190, 232, 232)",0.0,0.01,0.0,0.97,0.01,0.0
0.0,"(93, 192, 230, 230)",0.0,0.01,0.0,0.98,0.01,0.0
0.01,"(92, 191, 231, 231)",0.0,0.01,0.0,0.97,0.02,0.0
0.0,"(93, 192, 230, 230)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(93, 192, 230, 230)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(91, 190, 233, 233)",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"(91, 190, 235, 235)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(91, 190, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 191, 232, 232)",0.0,0.0,0.0,0.99,0.01,0.0
0.0,"(91, 190, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 190, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 190, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 190, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(91, 189, 234, 234)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 191, 231, 231)",0.0,0.0,0.0,0.99,0.01,0.0
0.0,"(93, 190, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 190, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 190, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 190, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 189, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 190, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 190, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(95, 190, 231, 231)",0.0,0.0,0.0,0.98,0.0,0.0
0.0,"(95, 190, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(95, 190, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(94, 189, 232, 232)",0.0,0.0,0.0,0.98,0.0,0.0
0.01,"(95, 190, 230, 230)",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"(95, 189, 231, 231)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(93, 189, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 188, 235, 235)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(93, 188, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 188, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(93, 188, 232, 232)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(93, 188, 235, 235)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 189, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(91, 191, 227, 227)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(93, 189, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 190, 231, 231)",0.0,0.0,0.0,0.99,0.01,0.0
0.0,"(94, 190, 231, 231)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(93, 190, 232, 232)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(93, 190, 232, 232)",0.0,0.01,0.0,0.98,0.02,0.0
0.0,"(93, 190, 231, 231)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(93, 190, 231, 231)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(94, 190, 230, 230)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(94, 190, 230, 230)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(94, 190, 230, 230)",0.0,0.0,0.0,0.98,0.02,0.0
0.0,"(94, 190, 231, 231)",0.0,0.0,0.0,0.98,0.02,0.0
0.01,"(92, 192, 224, 224)",0.0,0.01,0.0,0.97,0.01,0.0
0.0,"(95, 189, 230, 230)",0.0,0.0,0.0,0.99,0.01,0.0
0.01,"(92, 191, 226, 226)",0.0,0.01,0.0,0.97,0.01,0.0
0.0,"(94, 189, 231, 231)",0.0,0.0,0.0,0.99,0.01,0.0
0.0,"(92, 191, 226, 226)",0.0,0.01,0.0,0.98,0.01,0.0
0.01,"(93, 192, 224, 224)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(94, 188, 231, 231)",0.0,0.0,0.0,0.99,0.01,0.0
0.0,"(93, 191, 224, 224)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 188, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 188, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(95, 189, 230, 230)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(95, 189, 230, 230)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(93, 191, 228, 228)",0.0,0.01,0.0,0.98,0.0,0.0
0.0,"(95, 189, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(95, 189, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(94, 189, 233, 233)",0.0,0.0,0.0,0.98,0.0,0.0
0.0,"(94, 188, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 189, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 188, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 189, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(93, 189, 233, 233)",0.0,0.0,0.0,0.98,0.0,0.0
0.0,"(95, 189, 230, 230)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(96, 190, 229, 229)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 188, 229, 229)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 188, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(95, 189, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 190, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(95, 189, 230, 230)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 188, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 189, 230, 230)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 190, 228, 228)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 189, 233, 233)",0.0,0.0,0.0,0.98,0.0,0.0
0.01,"(94, 189, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(95, 189, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 188, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(91, 189, 229, 229)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 189, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 189, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(93, 189, 233, 233)",0.0,0.0,0.0,0.98,0.0,0.0
